urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.24	<l xmlns="http://www.tei-c.org/ns/1.0" n="24"> ἀλλ' οὐκ <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδῃ Ἀγαμέμνονι</persName> ἥνδανε θυμῷ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.36	<l xmlns="http://www.tei-c.org/ns/1.0" n="36"> <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνι</persName> ἄνακτι. τὸν ἠΰκομος τέκε <persName n="urn:cite:hmt:pers.pers35"> Λητώ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.37	<l xmlns="http://www.tei-c.org/ns/1.0" n="37"> κλῦθί μευ ἀργυρότοξ' ὃς <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> ἀμφιβέβηκας </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.42	<l xmlns="http://www.tei-c.org/ns/1.0" n="42"> τίσειαν <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοὶ</rs> ἐμὰ δάκρυα σοῖσι βέλεσσιν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.43	<l xmlns="http://www.tei-c.org/ns/1.0" n="43"> ὡς έφατ' εὐχόμενος· τοῦ δ' ἔκλυε <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπόλλων</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.54	<l xmlns="http://www.tei-c.org/ns/1.0" n="54"> τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.55	<l xmlns="http://www.tei-c.org/ns/1.0" n="55"> τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.56	<l xmlns="http://www.tei-c.org/ns/1.0" n="56"> <w> κήδετ <unclear> ο</unclear></w> γὰρ <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναῶν</rs> ὅτι ῥα θνήισκοντας ὁρᾶτο. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.58	<l xmlns="http://www.tei-c.org/ns/1.0" n="58"> τοῖσι δ' ἀνιστάμενος μετέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	<l xmlns="http://www.tei-c.org/ns/1.0" n="59"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> νῦν ἄμμε παλιμπλαγχθέντας ὀΐω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.63	<l xmlns="http://www.tei-c.org/ns/1.0" n="63"> ἢ καὶ ὀνειροπόλον, καὶ γάρ τ' ὄναρ ἐκ <persName n="urn:cite:hmt:pers.pers8"> Διός</persName> ἐστιν, </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.64	<l xmlns="http://www.tei-c.org/ns/1.0" n="64"> ὅς κ' εἴποι ὅ τι τόσσον ἐχώσατο <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπολλων</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.69	<l xmlns="http://www.tei-c.org/ns/1.0" n="69"> <persName n="urn:cite:hmt:pers.pers74"> Κάλχας Θεστορίδης</persName> οἰωνοπόλων ὄχ' ἄριστος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.72	<l xmlns="http://www.tei-c.org/ns/1.0" n="72"> ἣν διὰ μαντοσύνην· τήν οἱ πόρε <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπόλλων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.74	<l xmlns="http://www.tei-c.org/ns/1.0" n="74"> ὦ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλεῦ</persName> κέλεαί με <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> φίλε μυθήσασθαι </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.75	<l xmlns="http://www.tei-c.org/ns/1.0" n="75"> μῆνιν <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνος</persName> ἑκατηβελέταο ἄνακτος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.84	<l xmlns="http://www.tei-c.org/ns/1.0" n="84"> τονδ' ἀπαμειβόμενος προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.86	<l xmlns="http://www.tei-c.org/ns/1.0" n="86"> οὐ, μὰ, γὰρ, <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνα</persName> <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> φίλον, ᾧ τε σὺ <persName n="urn:cite:hmt:pers.pers74"> Κάλχαν</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.87	<l xmlns="http://www.tei-c.org/ns/1.0" n="87"> εὐχόμενος, <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοῖσι</rs> θεοπροπίας ἀναφαίνεις </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.90	<l xmlns="http://www.tei-c.org/ns/1.0" n="90"> συμπάντων <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναῶν</rs> . οὐδ ἢν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνονα</persName> εἴπῃς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.94	<l xmlns="http://www.tei-c.org/ns/1.0" n="94"> ἀλλ' ἕνεκ' ἀρητῆρος, ὃν ἠτίμης' <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.100	<l xmlns="http://www.tei-c.org/ns/1.0" n="100"> ἐς <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> · τότε κέν μιν ἱ̈λασσάμενοι πεπίθοιμεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.102	<l xmlns="http://www.tei-c.org/ns/1.0" n="102"> ἥρως <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> εὐρὺ κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.105	<l xmlns="http://www.tei-c.org/ns/1.0" n="105"> <persName n="urn:cite:hmt:pers.pers74"> Κάλχαντα</persName> πρώτιστα κὰκ' ὀσσόμενος προσέειπε· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.109	<l xmlns="http://www.tei-c.org/ns/1.0" n="109"> καὶ νῦν ἐν <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοῖσι</rs> θεοπροπέων ἀγορεύεις </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.111	<l xmlns="http://www.tei-c.org/ns/1.0" n="111"> οὕνεκ' ἐγὼ κούρης <persName n="urn:cite:hmt:pers.pers108"> Χρυσηΐδος</persName> ἀγλὰ' ἄποινα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.113	<l xmlns="http://www.tei-c.org/ns/1.0" n="113"> οἴκοι ἔχειν· καὶ γάρ ῥα <persName n="urn:cite:hmt:pers.pers29"> Κλυταιμν̈ήστρης</persName> προβέβουλα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.121	<l xmlns="http://www.tei-c.org/ns/1.0" n="121"> τὸνδ' ἠμείβετ' ἔπειτα ποδάρκης δῖος <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.122	<l xmlns="http://www.tei-c.org/ns/1.0" n="122"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> κύδιστε φιλοκτεανώτατε πάντων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.128	<l xmlns="http://www.tei-c.org/ns/1.0" n="128"> τριπλῇ τετραπλῇ τ' ἀποτίσομεν, αἴ κέ ποθι <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.130	<l xmlns="http://www.tei-c.org/ns/1.0" n="130"> τὸν δ' ἀπαμειβόμενος προσέφη κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.131	<l xmlns="http://www.tei-c.org/ns/1.0" n="131"> μὴ δ' οὕτως ἀγαθός περ ἐὼν θεοείκελ' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεῦ</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.138	<l xmlns="http://www.tei-c.org/ns/1.0" n="138"> ἢ τεὸν· ἢ <persName n="urn:cite:hmt:pers.pers127"> Αἴαντος</persName> · ἰὼν γέρας· ἢ <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.143	<l xmlns="http://www.tei-c.org/ns/1.0" n="143"> θείομεν· ἂν δ' αὐτὴν <persName n="urn:cite:hmt:pers.pers108"> Χρυσηΐδα</persName> καλλιπάρηον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.145	<l xmlns="http://www.tei-c.org/ns/1.0" n="145"> ἢ <persName n="urn:cite:hmt:pers.pers127"> Αἴας</persName> . ἢ <persName n="urn:cite:hmt:pers.pers287"> Ϊδομενεύς</persName> · ἢ δῖος <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεὺς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.146	<l xmlns="http://www.tei-c.org/ns/1.0" n="146"> ἠὲ σὺ <persName n="urn:cite:hmt:pers.pers1"> Πηλειδη</persName> πάντων ἐκπαγλότατ' ἀνδρῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.148	<l xmlns="http://www.tei-c.org/ns/1.0" n="148"> τὸν δ' ἄρ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.152	<l xmlns="http://www.tei-c.org/ns/1.0" n="152"> οὐ γὰρ ἐγὼ <rs n="urn:cite:hmt:pers.pers6" type="ethnic"> Τρώων</rs> ἕνεκ' ἤλυθον αἰχμητάων </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.159	<l xmlns="http://www.tei-c.org/ns/1.0" n="159"> τιμὴν ἀρνύμενοι <persName n="urn:cite:hmt:pers.pers119"> Μενελάῳ</persName> σοί τε κυνῶπα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.172	<l xmlns="http://www.tei-c.org/ns/1.0" n="172"> τὸν δ' ἠμείβετ' ἔπειτα ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.175	<l xmlns="http://www.tei-c.org/ns/1.0" n="175"> οἵ κέ με τιμήσουσι· μάλιστα δὲ. μητίετα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.182	<l xmlns="http://www.tei-c.org/ns/1.0" n="182"> ὡς <sic> ἒμ`'</sic> ἀφαιρεῖται <persName n="urn:cite:hmt:pers.pers108"> Χρυσηΐδα</persName> <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπόλλων</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.184	<l xmlns="http://www.tei-c.org/ns/1.0" n="184"> πέμψω. ἐγὼ δέ κ' ἄγω <persName n="urn:cite:hmt:pers.pers113"> Βρισηΐδα</persName> καλλιπάρηον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.188	<l xmlns="http://www.tei-c.org/ns/1.0" n="188"> Ὣς φάτο· <persName n="urn:cite:hmt:pers.pers1"> Πηλείωνι</persName> δ' ἄχος γένετ'· ἐν δέ οἱ ἦτορ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.191	<l xmlns="http://www.tei-c.org/ns/1.0" n="191"> τοὺς μὲν ἀναστήσειεν· ὁ δ' <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδην</persName> ἐναρίζοι. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.194	<l xmlns="http://www.tei-c.org/ns/1.0" n="194"> ἕλκετο δ' ἐκ κολεοῖο μέγα ξίφος· ἦλθε δ' <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.195	<l xmlns="http://www.tei-c.org/ns/1.0" n="195"> οὐρανόθεν· πρὸ γὰρ ἧκε θεὰ λευκώλενος <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.197	<l xmlns="http://www.tei-c.org/ns/1.0" n="197"> στῆ δ' ὄπιθεν· ξανθῆς δὲ κόμης ἕλε <persName n="urn:cite:hmt:pers.pers1"> Πηλείωνα</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.199	<l xmlns="http://www.tei-c.org/ns/1.0" n="199"> θάμβησεν δ' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλεύς</persName> · μετὰ <sic> δ`'</sic> ετράπετ', αὐτίκα δ' ἔγνω </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.200	<l xmlns="http://www.tei-c.org/ns/1.0" n="200"> <persName n="urn:cite:hmt:pers.pers67"> Παλλάδ' Ἀθηναίην</persName> · δεινὼ δέ οἱ ὄσσε φάανθεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.202	<l xmlns="http://www.tei-c.org/ns/1.0" n="202"> τίπτ' αὖτ' αἰγιόχοιο <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> τέκος εἰλήλουθας· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.203	<l xmlns="http://www.tei-c.org/ns/1.0" n="203"> ἦ ἵ̈να ὕβριν ἰ̈δῆ <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνονος Ἀτρείδαο</persName> ; </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.206	<l xmlns="http://www.tei-c.org/ns/1.0" n="206"> τὸν δ' αὖτε προσέειπε θεὰ γλαυκῶπις <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.208	<l xmlns="http://www.tei-c.org/ns/1.0" n="208"> οὐρανόθεν. πρὸ δέ μ' ἧκε θεὰ λευκώλενος <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.215	<l xmlns="http://www.tei-c.org/ns/1.0" n="215"> τὴν δ' ἀπαμειβόμενος προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.221	<l xmlns="http://www.tei-c.org/ns/1.0" n="221"> μύθῳ <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> . ἣ δ' οὔλυμπον δὲ βεβήκει </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.222	<l xmlns="http://www.tei-c.org/ns/1.0" n="222"> δώματ' ἐς αἰγιόχοιο <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> μετὰ δαίμονας ἄλλους· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.223	<l xmlns="http://www.tei-c.org/ns/1.0" n="223"> <persName n="urn:cite:hmt:pers.pers1"> Πηλείδης</persName> δ' ἐξαῦτις ἀταρτηροῖς ἐπέεσσιν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.224	<l xmlns="http://www.tei-c.org/ns/1.0" n="224"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδην</persName> <w> προσ <del> σ</del> έειπε</w> . καὶ οὔ πω λῆγε χόλοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.227	<l xmlns="http://www.tei-c.org/ns/1.0" n="227"> οὔτε λόχον δ' ϊέναι σὺν ἀριστήεσσιν <persName n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.229	<l xmlns="http://www.tei-c.org/ns/1.0" n="229"> ῆ πολὺ λώϊόν ἐστι κατα στρατὸν εὐρὺν <persName n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.232	<l xmlns="http://www.tei-c.org/ns/1.0" n="232"> ῆ γὰρ ἂν, <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> νῦν ὕστατα λωβήσαιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.239	<l xmlns="http://www.tei-c.org/ns/1.0" n="239"> πρὸς <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> εἰρύαται ὁ δέ τοι μέγας ἔσσεται ὅρκος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.240	<l xmlns="http://www.tei-c.org/ns/1.0" n="240"> ἦ ποτ' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλῆος</persName> ποθὴ ἵ̈ξεται υἷας <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</rs></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.242	<l xmlns="http://www.tei-c.org/ns/1.0" n="242"> χραισμεῖν· εὖτ' ἂν πολλοὶ ὑφ' <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορος</persName> ἀνδροφόνοιο </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.245	<l xmlns="http://www.tei-c.org/ns/1.0" n="245"> ὡς φάτο <persName n="urn:cite:hmt:pers.pers1"> Πηλείδης</persName> · ποτὶ δὲ σκῆπτρον βάλε γαίῃ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.247	<l xmlns="http://www.tei-c.org/ns/1.0" n="247"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> δ' ἑτέρωθεν ἐμήνιε· τοῖσι δὲ <persName n="urn:cite:hmt:pers.pers117"> Νέστωρ</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.255	<l xmlns="http://www.tei-c.org/ns/1.0" n="255"> ῆ κεν γηθήσαι <persName n="urn:cite:hmt:pers.pers154"> Πρίαμος</persName> <persName n="urn:cite:hmt:pers.pers154"> Πριάμοιό</persName> τε παῖδες· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.258	<l xmlns="http://www.tei-c.org/ns/1.0" n="258"> οἳ περὶ μὲν <choice> <orig> βουλὴν</orig> <reg> βουλῇ</reg></choice> <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναῶν</rs> , περὶ δ' ἐστὲ μάχεσθαι. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.263	<l xmlns="http://www.tei-c.org/ns/1.0" n="263"> οἷον <persName n="urn:cite:hmt:pers.pers148"> Πειρίθοόν</persName> τε· <persName n="urn:cite:hmt:pers.pers696"> Δρύαντά</persName> τε ποιμένα λαῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.264	<l xmlns="http://www.tei-c.org/ns/1.0" n="264"> <persName n="urn:cite:hmt:pers.pers153"> Καινέα</persName> τ'. <persName n="urn:cite:hmt:pers.pers149"> Ἐξάδιόν</persName> τε καὶ ἀντίθεον <persName n="urn:cite:hmt:pers.pers697"> Πολύφημον</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.277	<l xmlns="http://www.tei-c.org/ns/1.0" n="277"> μήτε σὺ <persName n="urn:cite:hmt:pers.pers1"> Πηλείδ'</persName> ἤθελ' ἐριζέμεναι βασιλῆϊ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.279	<l xmlns="http://www.tei-c.org/ns/1.0" n="279"> σκηπτοῦχος βασιλεὺς. ᾧ τε <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> κῦδος ἔδωκεν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.282	<l xmlns="http://www.tei-c.org/ns/1.0" n="282"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδη</persName> · σὺ δὲ παῦε. τεὸν μένος· αὐτὰρ ἔγωγε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.283	<l xmlns="http://www.tei-c.org/ns/1.0" n="283"> λίσσομ' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλῆϊ</persName> μεθέμεν χόλον· ὃς μέγα πᾶσιν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.285	<l xmlns="http://www.tei-c.org/ns/1.0" n="285"> τὸν δ' ἀπαμειβόμενος προσέφη κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.292	<l xmlns="http://www.tei-c.org/ns/1.0" n="292"> Τὸν δ' ὰρ ὑποβλήδην ἠμείβετο δῖος <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.306	<l xmlns="http://www.tei-c.org/ns/1.0" n="306"> <persName n="urn:cite:hmt:pers.pers1"> Πηλείδης</persName> μὲν ἐπὶ κλισίας καὶ νῆας ἐΐσᾱς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.307	<l xmlns="http://www.tei-c.org/ns/1.0" n="307"> ἤϊε. σύν τε <persName n="urn:cite:hmt:pers.pers158"> Μενοιτιάδῃ</persName> καὶ οἷς ἑτάροισιν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.308	<l xmlns="http://www.tei-c.org/ns/1.0" n="308"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> δ' ἄρα νῆα θοὴν ἅλα δὲ προέρυσσεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.310	<l xmlns="http://www.tei-c.org/ns/1.0" n="310"> βῆσε θεῷ. ἀνὰ δὲ <persName n="urn:cite:hmt:pers.pers108"> Χρυσηΐδα</persName> καλλιπάρηον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.311	<l xmlns="http://www.tei-c.org/ns/1.0" n="311"> εἷσεν ἄγων. ἐν δ' ἀρχὸς ἔβη πολύμητις <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεύς</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.313	<l xmlns="http://www.tei-c.org/ns/1.0" n="313"> λαοὺς δ' <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> ἀπολυμαίνεσθαι ἄνωγεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.315	<l xmlns="http://www.tei-c.org/ns/1.0" n="315"> ἔρδον <sic> δ`'</sic> <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνι</persName> τεληέσσας ἑκατόμβας </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.318	<l xmlns="http://www.tei-c.org/ns/1.0" n="318"> ὡς οἱ μὲν τὰ πένοντο κατα στρὰτον· οὐδ' <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.319	<l xmlns="http://www.tei-c.org/ns/1.0" n="319"> λῆγ' ἔριδος, τὴν πρῶτον ἐπηπείλης' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλῆϊ</persName> . </l>
